workload,workload_short,total_threads,insert_threads,delete_threads,contains_threads,size_threads,rank_threads,select_threads,insert_speedup,delete_speedup,contains_speedup,size_speedup,rank_speedup,select_speedup,overall_speedup,baseline_insert,mybst_insert,baseline_delete,mybst_delete,baseline_contains,mybst_contains,baseline_size,mybst_size,baseline_rank,mybst_rank,baseline_select,mybst_select,baseline_total,mybst_total
ins10-del10-con26-size16-rank17-sel17,i10-d10-c26-s16-r17-e17,96,10,10,26,16,17,17,2.7827647095995935,1.827294918059917,1.2033376538764606,0.9631756167581128,0.9735881577613301,0.9732230330056418,1.2549120063293382,165629.93333333332,460909.1333333333,325087.13333333336,594030.0666666667,8257912.399999999,9937056.933333332,14908.6,14359.6,15780.800000000001,15364.0,15787.199999999999,15364.466666666667,8795106.066666666,11037084.200000001
ins10-del10-con50-size10-rank10-sel10,i10-d10-c50-s10-r10-e10,100,10,10,50,10,10,10,2.616902169656145,1.963024392131229,0.9906290633044059,0.9395609568851259,0.9454647240155877,0.9444811776587784,1.0286506807641838,170226.66666666666,445466.5333333334,327387.0,642668.6666666666,15094293.266666666,14952845.6,9204.866666666667,8648.533333333333,9169.6,8669.533333333333,9175.266666666666,8665.866666666667,15619456.666666666,16066964.733333334
ins10-del10-con60-size6-rank7-sel7,i10-d10-c60-s6-r7-e7,100,10,10,60,6,7,7,3.1042175363840907,1.864563144751824,1.203310461112494,0.9034879984767528,0.9078947368421052,0.9064027820394804,1.2266536509079031,141811.06666666668,440212.4000000001,272844.0,508734.8666666667,18606539.866666663,22389444.066666666,5602.066666666667,5061.400000000001,6510.666666666667,5911.0,6518.0,5907.933333333333,19039825.666666668,23355271.666666668
ins10-del10-con70-size3-rank3-sel4,i10-d10-c70-s3-r3-e4,100,10,10,70,3,3,4,3.698247167070466,2.188423112929243,1.1618159770206402,0.8816279460874997,0.8801031474430039,0.8778259299386059,1.1971569540821387,155439.80000000002,574854.7999999999,338189.93333333335,740102.6666666666,20403330.133333333,23704914.933333334,2774.866666666667,2446.4,2766.2666666666664,2434.6,3692.0,3240.933333333333,20906193.0,25027994.333333332
ins3-del2-con95-size0-rank0-sel0,i3-d2-c95-s0-r0-e0,100,3,2,95,0,0,0,7.267086387769479,3.0884865578223324,1.3400412750069577,,,,1.3604624949459911,129747.53333333333,942886.5333333333,175341.13333333333,541538.7333333333,52365313.199999996,70171681.06666666,0.0,0.0,0.0,0.0,0.0,0.0,52670401.86666667,71656106.33333333
ins30-del20-con50-size0-rank0-sel0,i30-d20-c50-s0-r0-e0,100,30,20,50,0,0,0,13.510691666301238,4.0505810573963155,1.911481276524158,,,,2.3082357576810426,266048.3333333333,3594497.0,331912.1333333333,1344437.0,8969527.6,17145084.066666666,0.0,0.0,0.0,0.0,0.0,0.0,9567488.066666666,22084018.066666666
